day_end;start_time;day_of_the_week;domicile;region
Weekday;NA;Wednesday;NA;Central East
Weekday;07:10:00;Tuesday;At home;Central East
Weekday;07:10:00;Tuesday;At home;Central East
Weekday;NA;Monday;NA;Central East
Weekday;06:30:00;Wednesday;At home;Central East
Weekday;06:30:00;Wednesday;At home;Central East
Weekday;06:30:00;Wednesday;At home;Central East
Weekday;06:30:00;Wednesday;At home;Central East
Weekday;06:30:00;Wednesday;At home;Central East
Weekend;08:30:00;Sunday;At home;Central East
Weekend;08:30:00;Sunday;At home;Central East
Weekend;08:30:00;Sunday;At home;Central East
Weekend;08:30:00;Sunday;At home;Central East
Weekend;08:30:00;Sunday;At home;Central East
Weekday;06:30:00;Wednesday;At home;Central East
Weekday;06:30:00;Wednesday;At home;Central East
Weekday;06:30:00;Wednesday;At home;Central East
Weekday;06:30:00;Wednesday;At home;Central East
Weekday;06:30:00;Wednesday;At home;Central East
Weekday;06:30:00;Wednesday;At home;Central East
Weekday;09:00:00;Monday;Out of home;Central East
Weekday;09:00:00;Monday;Out of home;Central East
Weekday;09:00:00;Monday;Out of home;Central East
Weekend;09:00:00;Sunday;At home;Central East
Weekend;09:00:00;Sunday;At home;Central East
Weekend;09:00:00;Sunday;At home;Central East
Weekday;09:00:00;Wednesday;Out of home;Central East
Weekday;09:00:00;Wednesday;Out of home;Central East
Weekend;09:00:00;Saturday;At home;Central East
Weekend;09:00:00;Saturday;At home;Central East
Weekend;09:00:00;Saturday;At home;Central East
Weekend;09:00:00;Saturday;At home;Central East
Weekend;09:00:00;Saturday;At home;Central East
Weekday;06:00:00;Friday;At home;Central East
Weekday;05:00:00;Friday;Out of home;Central East
Weekday;05:00:00;Friday;Out of home;Central East
Weekday;05:00:00;Friday;Out of home;Central East
Weekday;05:00:00;Friday;Out of home;Central East
Weekday;07:00:00;Thursday;At home;Central East
Weekday;07:00:00;Thursday;At home;Central East
Weekday;07:00:00;Thursday;At home;Central East
Weekday;07:00:00;Thursday;At home;Central East
Weekday;07:00:00;Thursday;At home;Central East
Weekday;07:00:00;Thursday;At home;Central East
Weekday;07:00:00;Tuesday;At home;Central East
Weekday;07:00:00;Tuesday;At home;Central East
Weekday;07:00:00;Tuesday;At home;Central East
Weekday;07:00:00;Tuesday;At home;Central East
Weekday;07:00:00;Tuesday;At home;Central East
Weekday;07:00:00;Tuesday;At home;Central East
Weekday;07:00:00;Thursday;At home;Central East
Weekday;07:00:00;Thursday;At home;Central East
Weekday;07:00:00;Thursday;At home;Central East
Weekday;07:00:00;Thursday;At home;Central East
Weekday;07:00:00;Thursday;At home;Central East
Weekday;07:00:00;Thursday;At home;Central East
Weekday;07:00:00;Thursday;At home;Center
Weekend;07:30:00;Sunday;At home;Center
Weekend;07:30:00;Sunday;At home;Center
Weekday;08:00:00;Monday;At home;Center
Weekday;08:00:00;Friday;At home;Center
Weekday;08:00:00;Friday;At home;Center
Weekday;08:00:00;Friday;At home;Center
Weekday;08:00:00;Monday;At home;Center
Weekday;08:00:00;Monday;At home;Center
Weekday;08:00:00;Monday;At home;Center
Weekend;07:45:00;Sunday;At home;Center
Weekend;07:45:00;Sunday;At home;Center
Weekend;07:45:00;Sunday;At home;Center
Weekday;09:10:00;Friday;At home;Southeast
Weekday;09:10:00;Friday;At home;Southeast
Weekday;09:10:00;Friday;At home;Southeast
Weekday;09:10:00;Friday;At home;Southeast
Weekday;09:10:00;Friday;At home;Southeast
Weekday;09:00:00;Thursday;At home;Southeast
Weekday;09:00:00;Thursday;At home;Southeast
Weekday;09:00:00;Thursday;At home;Southeast
Weekday;09:00:00;Thursday;At home;Southeast
Weekend;09:00:00;Sunday;At home;Southeast
Weekend;09:00:00;Sunday;At home;Southeast
Weekend;09:00:00;Sunday;At home;Southeast
Weekend;09:15:00;Sunday;At home;Southeast
Weekend;09:15:00;Sunday;At home;Southeast
Weekend;09:15:00;Sunday;At home;Southeast
Weekday;04:50:00;Thursday;At home;Southeast
Weekday;04:50:00;Thursday;At home;Southeast
Weekday;09:45:00;Monday;At home;Southeast
Weekday;09:45:00;Monday;At home;Southeast
Weekday;09:45:00;Monday;At home;Southeast
Weekday;09:45:00;Monday;At home;Southeast
Weekday;09:45:00;Monday;At home;Southeast
Weekday;07:50:00;Monday;At home;Southeast
Weekday;07:50:00;Monday;At home;Southeast
Weekday;07:50:00;Monday;At home;Southeast
Weekday;07:50:00;Monday;At home;Southeast
Weekday;07:50:00;Monday;At home;Southeast
Weekday;07:50:00;Monday;At home;Southeast
Weekend;08:00:00;Sunday;At home;Southeast
Weekend;08:00:00;Sunday;At home;Southeast
Weekend;08:00:00;Sunday;At home;Southeast
Weekend;08:00:00;Sunday;At home;Southeast
Weekend;08:00:00;Sunday;At home;Southeast
Weekday;08:00:00;Wednesday;At home;Southeast
Weekday;08:00:00;Wednesday;At home;Southeast
Weekday;08:00:00;Wednesday;At home;Southeast
Weekday;08:00:00;Wednesday;At home;Southeast
Weekday;10:00:00;Monday;At home;Southeast
Weekend;09:00:00;Saturday;At home;Southeast
Weekend;09:00:00;Saturday;At home;Southeast
Weekday;05:35:00;Wednesday;At home;Southeast
Weekday;05:35:00;Wednesday;At home;Southeast
Weekend;13:30:00;Saturday;At home;Southeast
Weekend;13:30:00;Saturday;At home;Southeast
Weekend;13:30:00;Saturday;At home;Southeast
Weekend;13:30:00;Saturday;At home;Southeast
Weekend;13:30:00;Saturday;At home;Southeast
Weekend;13:30:00;Saturday;At home;Southeast
Weekend;13:30:00;Saturday;At home;Southeast
Weekend;10:05:00;Saturday;At home;Southeast
Weekend;10:05:00;Saturday;At home;Southeast
Weekend;10:05:00;Saturday;At home;Southeast
Weekend;10:05:00;Saturday;At home;Southeast
Weekday;09:10:00;Thursday;At home;Southeast
Weekday;09:10:00;Thursday;At home;Southeast
Weekend;07:30:00;Saturday;At home;Southeast
Weekend;07:30:00;Saturday;At home;Southeast
Weekend;07:30:00;Saturday;At home;Southeast
Weekend;07:30:00;Saturday;At home;Southeast
Weekend;07:30:00;Saturday;At home;Southeast
Weekday;07:30:00;Thursday;At home;Southeast
Weekday;07:30:00;Thursday;At home;Southeast
Weekday;07:30:00;Thursday;At home;Southeast
Weekday;07:30:00;Thursday;At home;Southeast
Weekday;07:30:00;Thursday;At home;Southeast
Weekday;07:10:00;Friday;At home;Southeast
Weekday;07:10:00;Friday;At home;Southeast
Weekday;07:10:00;Friday;At home;Southeast
Weekday;07:10:00;Friday;At home;Southeast
Weekday;07:10:00;Friday;At home;Southeast
Weekday;08:15:00;Monday;At home;Southeast
Weekday;08:15:00;Monday;At home;Southeast
Weekday;08:15:00;Monday;At home;Southeast
Weekday;08:15:00;Monday;At home;Southeast
Weekday;08:15:00;Monday;At home;Southeast
Weekday;08:15:00;Monday;At home;Southeast
Weekend;08:00:00;Saturday;Out of home;Southeast
Weekend;08:00:00;Saturday;Out of home;Southeast
Weekend;08:00:00;Saturday;Out of home;Southeast
Weekend;08:00:00;Saturday;Out of home;Southeast
Weekend;08:00:00;Saturday;Out of home;Southeast
Weekend;08:00:00;Saturday;Out of home;Southeast
Weekend;08:00:00;Saturday;Out of home;Southeast
Weekend;08:00:00;Saturday;Out of home;Southeast
Weekend;08:00:00;Saturday;Out of home;Southeast
Weekday;08:00:00;Tuesday;At home;Southeast
Weekday;08:00:00;Tuesday;At home;Southeast
Weekday;08:00:00;Tuesday;At home;Southeast
Weekday;08:00:00;Tuesday;At home;Southeast
Weekday;08:00:00;Tuesday;At home;Southeast
Weekday;08:00:00;Tuesday;At home;Southeast
Weekday;08:30:00;Thursday;At home;Southeast
Weekday;08:30:00;Thursday;At home;Southeast
Weekday;08:30:00;Thursday;At home;Southeast
Weekday;08:30:00;Thursday;At home;Southeast
Weekday;08:10:00;Friday;At home;Southeast
Weekday;08:10:00;Friday;At home;Southeast
Weekday;08:10:00;Friday;At home;Southeast
Weekday;08:10:00;Friday;At home;Southeast
Weekend;08:10:00;Saturday;At home;Southeast
Weekend;08:10:00;Saturday;At home;Southeast
Weekend;08:10:00;Saturday;At home;Southeast
Weekend;08:10:00;Saturday;At home;Southeast
Weekday;08:00:00;Monday;At home;Southeast
Weekday;08:00:00;Monday;At home;Southeast
Weekday;09:15:00;Tuesday;Out of home;Southeast
Weekend;09:15:00;Sunday;At home;Southeast
Weekend;09:15:00;Sunday;At home;Southeast
Weekday;08:00:00;Monday;At home;Central East
Weekday;08:00:00;Monday;At home;Central East
Weekday;08:00:00;Monday;At home;Central East
Weekday;08:00:00;Monday;At home;Central East
Weekday;08:00:00;Monday;At home;Central East
Weekday;08:00:00;Monday;At home;Central East
Weekend;08:15:00;Sunday;At home;Central East
Weekend;08:15:00;Sunday;At home;Central East
Weekend;08:15:00;Sunday;At home;Central East
Weekend;08:15:00;Sunday;At home;Central East
Weekend;08:15:00;Sunday;At home;Central East
Weekday;07:35:00;Monday;At home;Central East
Weekday;07:35:00;Monday;At home;Central East
Weekday;07:35:00;Monday;At home;Central East
Weekday;07:35:00;Monday;At home;Central East
Weekday;07:35:00;Monday;At home;Central East
Weekday;07:35:00;Monday;At home;Central East
Weekend;08:30:00;Saturday;At home;Central East
Weekend;08:30:00;Saturday;At home;Central East
Weekend;08:30:00;Saturday;At home;Central East
Weekend;08:30:00;Saturday;At home;Central East
Weekend;08:30:00;Saturday;At home;Central East
Weekend;08:30:00;Saturday;At home;Central East
Weekend;08:30:00;Saturday;At home;Central East
Weekday;07:45:00;Thursday;At home;Central East
Weekday;07:45:00;Thursday;At home;Central East
